YEAR,NEIGHBORHOOD_NAME,ZIPCODE_1,ZIPCODE_2,ZIPCODE_3,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER,TOTAL_CRIME,AVERAGE_HOUSE_PRICE,CRIME_PERCENT_CHANGE,PRICE_PERCENT_CHANGE
2000,CHURCH HILL,23223,None,None,0,1,8,71,44,46,143,51,229,593,157062,0,0
2001,CHURCH HILL,23223,None,None,1,2,20,60,77,25,157,66,198,606,147762,2.1922428330522767,-5.921228559422394
2002,CHURCH HILL,23223,None,None,0,1,13,50,59,23,190,49,190,575,162856,-5.115511551155116,10.215075594537161
2003,CHURCH HILL,23223,None,None,1,3,31,65,57,26,188,76,178,625,185556,8.695652173913043,13.938694306626715
2004,CHURCH HILL,23223,None,None,0,6,16,52,41,31,122,55,163,486,198668,-22.24,7.066330380046994
2005,CHURCH HILL,23223,None,None,2,2,17,42,28,37,95,37,159,419,234338,-13.786008230452676,17.95457748605714
2006,CHURCH HILL,23223,None,None,1,1,10,49,53,37,87,18,229,485,266700,15.75178997613365,13.809966800092175
2007,CHURCH HILL,23223,None,None,0,4,10,36,37,20,90,19,179,395,280136,-18.556701030927837,5.037870266216723
2008,CHURCH HILL,23223,None,None,1,2,7,29,27,16,58,23,189,352,262604,-10.886075949367088,-6.258388782591314
2009,CHURCH HILL,23223,None,None,1,3,3,30,26,11,78,13,173,338,235140,-3.977272727272727,-10.458332698664147
2010,CHURCH HILL,23223,None,None,0,0,3,29,18,11,64,17,159,301,228737,-10.946745562130179,-2.7230586033852173
2011,CHURCH HILL,23223,None,None,0,0,6,37,21,14,67,10,148,303,215394,0.6644518272425249,-5.833336976527628
2012,CHURCH HILL,23223,None,None,0,1,8,28,10,8,72,9,194,330,210263,8.91089108910891,-2.382146206486717
2013,CHURCH HILL,23223,None,None,0,0,3,23,20,5,47,5,145,248,223706,-24.848484848484848,6.393421572031217
2014,CHURCH HILL,23223,None,None,0,0,9,25,23,6,69,8,125,265,231048,6.854838709677419,3.2819861782875734
2015,CHURCH HILL,23223,None,None,0,1,4,27,17,9,54,8,143,263,256620,-0.7547169811320755,11.067830061285965
2016,CHURCH HILL,23223,None,None,0,2,4,29,12,4,73,14,117,255,280420,-3.041825095057034,9.27441352973268
2017,CHURCH HILL,23223,None,None,0,0,6,19,9,9,78,23,153,297,299113,16.470588235294116,6.666072320091292
2018,CHURCH HILL,23223,None,None,0,0,5,17,8,11,75,16,132,264,320999,-11.11111111111111,7.316967166254893
2019,CHURCH HILL,23223,None,None,0,1,5,15,11,7,70,22,147,278,334904,5.303030303030303,4.331789195604971
2020,CHURCH HILL,23223,None,None,0,3,2,25,6,4,69,13,132,254,345075,-8.633093525179856,3.0369897045123375
