,NEIGHBORHOOD_NAME,2000_TOTAL_CRIME,2000_AVERAGE_HOUSE_PRICE,2010_TOTAL_CRIME,2010_AVERAGE_HOUSE_PRICE,2020_TOTAL_CRIME,2020_AVERAGE_HOUSE_PRICE
0,BEAUFONT,81,91484,95,129220,80,179741
1,BELLEMEADE,846,60970,632,73785,484,110851
2,BELLEVUE,236,142984,106,242895,143,356034
3,BELMONT WOODS,28,119901,32,149921,16,199649
4,BELT CENTER,715,75425,417,106461,465,142836
5,BLACKWELL,928,146175,567,143566,514,163934
6,BRAUERS,101,81704,167,68340,120,143076
7,BRITISH CAMP FARMS,301,73171,255,112177,222,155816
8,BROAD ROCK,582,69715,468,75885,425,121304
9,BROAD ROCK INDUSTRIAL PARK,73,0,63,71161,40,129931
10,BROOKBURY,35,173817,55,218035,22,258412
11,BROOKHAVEN FARMS,2,75260,67,113388,51,154744
12,BROOKLAND PARK,397,52414,383,88713,187,270604
13,BYRD PARK,188,104488,145,221215,73,365342
14,CARILLON,78,150299,69,257630,37,390775
15,CARVER,341,112023,511,175392,408,258816
16,CARYTOWN,476,89201,381,210685,281,343004
17,CEDARHURST,228,99145,223,175947,186,241476
18,CENTRAL OFFICE,169,181392,119,254325,116,264888
19,CHAMBERLAYNE INDUSTRIAL CENTER,345,0,212,0,283,210082
20,CHERRY GARDENS,22,84078,26,151008,18,167941
21,CHIMBORAZO,325,111833,187,163849,143,277136
22,CHIPPENHAM FOREST,440,126597,330,214542,241,282918
23,CHURCH HILL,593,157062,301,228737,254,345075
24,CHURCH HILL NORTH,817,79009,396,155136,455,233230
25,CITY CENTER,660,0,712,322104,387,238176
26,COFER,142,61552,91,83204,119,119858
27,COLONIAL PLACE,111,179701,59,292121,42,429042
28,COTTRELL FARMS,79,90320,114,135840,105,163874
29,COUNTRY CLUB OF VIRGINIA,9,439787,3,743448,5,1021539
30,CREIGHTON,563,458692,477,334449,319,136378
31,CULLENWOOD,38,76193,43,133200,33,162890
32,DAVEE GARDENS,100,83120,112,59745,66,110472
33,DEERBOURNE,137,122460,62,188487,63,152171
34,EASTVIEW,92,68660,94,92292,204,111755
35,EDGEWOOD,105,137023,82,181583,66,205282
36,FAIRFIELD,512,64556,398,97844,377,118308
37,FAIRMOUNT,732,62494,386,118368,402,226324
38,FAWNBROOK,40,124307,34,145829,30,196621
39,FOREST HILL,157,152593,114,261147,66,384202
40,FOREST HILL TERRACE,202,109801,133,206872,70,298227
41,FOREST VIEW,141,75571,131,135611,99,178293
42,FULTON,800,84273,675,147458,539,164079
43,GILPIN,1166,0,1655,0,832,182291
44,GINTER PARK,959,177360,773,287628,607,409187
45,GINTER PARK TERRACE,45,83618,55,127842,34,321228
46,GRAVEL HILL,129,109786,132,182960,96,236708
47,GREEN PARK,116,66864,101,103578,94,162035
48,HICKORY HILL,187,67693,185,103413,104,135715
49,HIGHLAND PARK SOUTHERN TIP,687,45713,477,68439,314,213337
50,HIGHLAND TERRACE,211,0,185,0,139,183380
51,HOLLYWOOD CEMETERY,14,0,26,253587,17,356306
52,HUGUENOT,88,188966,85,274682,74,333446
53,JACKSON WARD,841,90058,764,199616,519,264178
54,JAHNKE,381,97209,414,152434,401,205293
55,JEFF DAVIS,1364,72946,1044,101614,896,94611
56,JOHN MARSHALL,328,0,368,0,150,177565
57,LABURNUM PARK,70,184131,41,346066,27,481318
58,MALVERN GARDENS,79,246857,56,393842,52,561253
59,MANCHESTER,292,70889,138,189197,268,241810
60,MARY MUNFORD,35,199194,46,322738,43,455838
61,MAYMONT,98,114429,68,149468,57,219709
62,MCGUIRE,269,63521,219,104884,246,160134
63,MCGUIRE MANOR,150,76878,223,112250,178,134300
64,MIDLOTHIAN,1103,72133,843,108304,923,162246
65,MONROE WARD,900,138386,815,224399,587,221924
66,MONUMENT AVENUE PARK,158,139073,68,232385,85,342931
67,MOSBY,719,36019,743,49221,600,123735
68,NEWTOWNE WEST,219,124964,154,149609,96,257884
69,NORTH HIGHLAND PARK,730,60763,568,87918,431,203830
70,NORTHERN BARTON HEIGHTS,968,81925,765,144456,461,307249
71,NORTHROP,356,95708,379,143411,282,223117
72,OAK GROVE,542,0,575,89433,357,113254
73,OAKWOOD,307,164916,108,133516,137,176556
74,OLD TOWN MANCHESTER,172,122956,192,270842,445,314808
75,OREGON HILL,133,113852,247,217904,104,299181
76,OXFORD,157,186737,93,276657,84,342875
77,PETER PAUL,128,52216,135,68742,164,120350
78,PINEY KNOLLS,476,147321,453,206000,297,153123
79,POCOSHOCK,69,59936,36,90248,42,150726
80,POWHITE PARK,1,0,7,239964,20,267990
81,PROVIDENCE PARK,251,88790,232,79101,192,155698
82,RANDOLPH,409,73769,395,148666,245,232070
83,REEDY CREEK,170,72788,166,123722,114,211301
84,ROSEDALE,80,112389,66,192617,70,281226
85,SAUER'S GARDENS,349,175476,155,288629,139,423945
86,SCOTT'S ADDITION,428,215344,297,201387,250,359168
87,SHERWOOD PARK,81,151050,54,250759,67,373434
88,SHOCKOE BOTTOM,618,133572,634,295168,629,358393
89,SOUTH GARDEN,333,118731,378,165442,277,151526
90,SOUTHAMPTON,14,157709,25,241483,18,323482
91,SOUTHERN BARTON HEIGHTS,254,79317,265,145725,104,267536
92,STADIUM,40,70059,43,156314,21,282859
93,STONEWALL COURT,26,407023,24,616150,14,840807
94,STONY POINT,32,229133,80,320463,40,389101
95,STRATFORD HILLS,191,146767,177,239167,153,323964
96,SWANSBORO,1009,88860,709,111740,498,162323
97,SWANSBORO WEST,595,44736,489,79312,363,167027
98,SWANSON,260,104225,185,147880,192,184208
99,THE FAN,3145,182038,1784,329122,1368,495304
100,THE MUSEUM DISTRICT,14,160915,618,285108,390,434587
101,THREE CHOPT,139,188603,116,296801,79,429468
102,UNION HILL,446,0,420,170630,409,276724
103,UNIVERSITY OF RICHMOND,1,255344,4,362762,1,587744
104,VCU,437,161754,323,265507,202,350792
105,VIRGINIA UNION,395,69397,254,112991,330,264086
106,WALMSLEY,238,115977,226,175977,175,148446
107,WARWICK,95,0,70,0,58,158102
108,WASHINGTON PARK,211,266109,147,201348,131,154704
109,WESTHAMPTON,119,208186,107,346188,35,504011
110,WESTLAKE HILLS,49,102701,38,174467,43,243225
111,WESTOVER,279,77678,328,134396,286,188798
112,WESTOVER HILLS,73,181358,48,301855,55,429331
113,WESTOVER HILLS WEST,26,137486,25,221524,21,323452
114,WILLOW LAWN,64,167236,43,266713,25,389005
115,WILLOW OAKS,23,162162,27,267114,8,366146
116,WILTON,9,570571,15,895019,20,1190197
117,WINDSOR FARMS,44,568122,18,837668,31,1098946
118,WOODHAVEN,122,75706,171,114064,126,155251
119,WOODLAND HEIGHTS,379,117137,315,222521,221,331597
120,WOODVILLE,142,138552,161,105910,139,144709
121,WORTHINGTON,83,85378,92,114525,48,163726
